HolderAddress,Balance_2021-04-14_23-1,Balance_2021-04-15_15-56,Balance_2021-04-16_19-36,Balance_2021-04-18_11-17,Balance_2021-04-19_17-11,Balance_2021-04-20_17-0,Balance_2021-04-21_16-57,Balance_2021-04-22_16-35,Balance_2021-04-23_21-26,Balance_2021-04-24_8-20,Balance_2021-04-25_17-34,Balance_2021-04-26_20-7,Balance_2021-04-27_18-51,Balance_2021-04-28_19-57,Balance_2021-04-30_12-57,Balance_2021-05-01_8-43,Balance_2021-05-04_20-1,Balance_2021-05-05_17-51,Balance_2021-05-09_9-11,Balance_2021-05-10_21-52,Balance_2021-05-12_21-14,Balance_2021-07-17_22-4,Balance_2021-07-18_12-12
0x54508bef9658dd4c5a6e4b2485b384756fa43fc7,1105.29108529813,1105.291085298133,1105.291085298133,1105.291085298133,1105.291085298133,1105.291085298133,1105.291085298133,1105.291085298133,1105.291085298133,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951,0.005116813385951082
0x38323942426bcdc5c87996741092a34c2f880071,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,1104.651,767.651,767.651,767.651,767.651,767.651
0x653d63e4f2d7112a19f5eb993890a3f27b48ada5,1104.57404830588,1104.5740483058823,1104.5740483058823,1104.5740483058823,1104.5740483058823,1104.5740483058823,1104.5740483058823,1104.5740483058823,1104.5740483058823,1104.5740483058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x30357047fa109ace5d89f81cfe5325f22049d072,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836,1102.9836
0x00fc6300b77a8ea902d576eafaa9ba40daa7c415,1102.97172344724,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448,1102.9717234472448
0xbe0b56e5a3bbcfd4cbe0e985df8a8159c631a7de,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,1100.00216,0.0,0.0,0.0,0.0,0.0,0.0
0xbbd267c4864c055b5f87bc71ca3f17d0aafac06a,1100.0,1100.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
0x414719ee3f0ab1d80b48a6d54ab9def8d65c59d2,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x001f755f30a787fa97eb393bd61802c4e4714e56,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
0x5e63568db1c0082f252aaaac27d1fdc7d894387e,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x69c89793d9f9a1898ec5179ea0f4b49e0dda52c1,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
0xcd0a161bc367ae0927a92aac9cf6e5086714efca,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
0x01b3c09bfd466e4701ed1bb9923c4a858621d9b1,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
0x07ba2d16cfc06571b776c14c64515e8b2cbdc992,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0
